timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
3.906659,2025-12-11 09:59:27.309,INFO,SYSTEM,,,,,GUI started successfully
4.114117,2025-12-11 09:59:27.516,ARDUINO_PSI,Arduino,90.888,48.275,0.000,,
4.114428,2025-12-11 09:59:27.517,ARDUINO_PSI,Arduino,91.513,45.888,0.000,,
4.114565,2025-12-11 09:59:27.517,ARDUINO_PSI,Arduino,87.825,47.475,0.000,,
4.114680,2025-12-11 09:59:27.517,ARDUINO_PSI,Arduino,87.375,43.600,0.000,,
4.129272,2025-12-11 09:59:27.531,ARDUINO_PSI,Arduino,87.112,45.025,0.000,,
4.134148,2025-12-11 09:59:27.536,ARDUINO_PSI,Arduino,89.950,46.425,0.000,,
4.135495,2025-12-11 09:59:27.538,ARDUINO_PSI,Arduino,89.375,44.938,0.000,,
4.136186,2025-12-11 09:59:27.538,ARDUINO_PSI,Arduino,86.925,44.750,0.000,,
4.218206,2025-12-11 09:59:27.620,ARDUINO_PSI,Arduino,88.987,44.712,0.000,,
4.300587,2025-12-11 09:59:27.703,ARDUINO_PSI,Arduino,87.300,46.062,0.000,,
4.400398,2025-12-11 09:59:27.803,ARDUINO_PSI,Arduino,85.200,46.600,0.000,,
4.500818,2025-12-11 09:59:27.903,ARDUINO_PSI,Arduino,90.138,44.100,0.000,,
4.520381,2025-12-11 09:59:27.923,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
4.523224,2025-12-11 09:59:27.925,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
4.600450,2025-12-11 09:59:28.003,ARDUINO_PSI,Arduino,86.288,45.063,0.000,,
4.700624,2025-12-11 09:59:28.103,ARDUINO_PSI,Arduino,88.425,47.400,0.000,,
4.800521,2025-12-11 09:59:28.203,ARDUINO_PSI,Arduino,87.300,47.613,0.000,,
4.900626,2025-12-11 09:59:28.303,ARDUINO_PSI,Arduino,89.250,46.237,0.000,,
5.001585,2025-12-11 09:59:28.404,ARDUINO_PSI,Arduino,89.312,47.225,0.000,,
5.048842,2025-12-11 09:59:28.451,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
5.052184,2025-12-11 09:59:28.454,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
5.100677,2025-12-11 09:59:28.503,ARDUINO_PSI,Arduino,88.237,45.050,0.000,,
5.201066,2025-12-11 09:59:28.603,ARDUINO_PSI,Arduino,88.300,45.725,0.000,,
5.300598,2025-12-11 09:59:28.703,ARDUINO_PSI,Arduino,87.675,45.812,0.000,,
5.400585,2025-12-11 09:59:28.803,ARDUINO_PSI,Arduino,90.425,45.175,0.000,,
5.500520,2025-12-11 09:59:28.903,ARDUINO_PSI,Arduino,87.850,47.413,0.000,,
5.575432,2025-12-11 09:59:28.978,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
5.578537,2025-12-11 09:59:28.981,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
5.600553,2025-12-11 09:59:29.003,ARDUINO_PSI,Arduino,90.787,45.337,0.000,,
5.700652,2025-12-11 09:59:29.103,ARDUINO_PSI,Arduino,86.825,44.800,0.000,,
5.800720,2025-12-11 09:59:29.203,ARDUINO_PSI,Arduino,88.400,45.212,0.000,,
5.900562,2025-12-11 09:59:29.303,ARDUINO_PSI,Arduino,86.550,44.575,0.000,,
6.000491,2025-12-11 09:59:29.403,ARDUINO_PSI,Arduino,86.750,44.087,0.000,,
6.100854,2025-12-11 09:59:29.503,ARDUINO_PSI,Arduino,89.138,48.038,0.000,,
6.106341,2025-12-11 09:59:29.508,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
6.107970,2025-12-11 09:59:29.510,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
6.200762,2025-12-11 09:59:29.603,ARDUINO_PSI,Arduino,89.425,47.175,0.000,,
6.300585,2025-12-11 09:59:29.703,ARDUINO_PSI,Arduino,85.787,47.675,0.000,,
6.400638,2025-12-11 09:59:29.803,ARDUINO_PSI,Arduino,88.375,47.788,0.000,,
6.500507,2025-12-11 09:59:29.903,ARDUINO_PSI,Arduino,88.575,47.713,0.000,,
6.600772,2025-12-11 09:59:30.003,ARDUINO_PSI,Arduino,89.700,46.075,0.000,,
6.633672,2025-12-11 09:59:30.036,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
6.636836,2025-12-11 09:59:30.039,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
6.701934,2025-12-11 09:59:30.104,ARDUINO_PSI,Arduino,87.750,45.750,0.000,,
6.800560,2025-12-11 09:59:30.203,ARDUINO_PSI,Arduino,85.987,46.500,0.000,,
6.900498,2025-12-11 09:59:30.303,ARDUINO_PSI,Arduino,88.862,46.688,0.000,,
7.000626,2025-12-11 09:59:30.403,ARDUINO_PSI,Arduino,85.912,46.362,0.000,,
7.100503,2025-12-11 09:59:30.503,ARDUINO_PSI,Arduino,87.963,44.438,0.000,,
7.162430,2025-12-11 09:59:30.565,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
7.164726,2025-12-11 09:59:30.567,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
7.200600,2025-12-11 09:59:30.603,ARDUINO_PSI,Arduino,86.925,43.750,0.000,,
7.302709,2025-12-11 09:59:30.705,ARDUINO_PSI,Arduino,87.987,45.900,0.000,,
7.402316,2025-12-11 09:59:30.804,ARDUINO_PSI,Arduino,88.587,48.462,0.000,,
7.500580,2025-12-11 09:59:30.903,ARDUINO_PSI,Arduino,87.312,46.850,0.000,,
7.600634,2025-12-11 09:59:31.003,ARDUINO_PSI,Arduino,86.437,44.675,0.000,,
7.690626,2025-12-11 09:59:31.093,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
7.693551,2025-12-11 09:59:31.096,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
7.700367,2025-12-11 09:59:31.102,ARDUINO_PSI,Arduino,89.200,47.450,0.000,,
7.800567,2025-12-11 09:59:31.203,ARDUINO_PSI,Arduino,87.787,47.837,0.000,,
7.900783,2025-12-11 09:59:31.303,ARDUINO_PSI,Arduino,87.650,44.537,0.000,,
8.000523,2025-12-11 09:59:31.403,ARDUINO_PSI,Arduino,87.463,45.850,0.000,,
8.100674,2025-12-11 09:59:31.503,ARDUINO_PSI,Arduino,88.150,44.750,0.000,,
8.201881,2025-12-11 09:59:31.604,ARDUINO_PSI,Arduino,88.875,45.488,0.000,,
8.219539,2025-12-11 09:59:31.622,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
8.221968,2025-12-11 09:59:31.624,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
8.300249,2025-12-11 09:59:31.702,ARDUINO_PSI,Arduino,89.875,45.425,0.000,,
8.400676,2025-12-11 09:59:31.803,ARDUINO_PSI,Arduino,87.925,47.737,0.000,,
8.500743,2025-12-11 09:59:31.903,ARDUINO_PSI,Arduino,87.737,47.237,0.000,,
8.600680,2025-12-11 09:59:32.003,ARDUINO_PSI,Arduino,87.188,47.488,0.000,,
8.700940,2025-12-11 09:59:32.103,ARDUINO_PSI,Arduino,89.587,46.513,0.000,,
8.748628,2025-12-11 09:59:32.151,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
8.750803,2025-12-11 09:59:32.153,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
8.800551,2025-12-11 09:59:32.203,ARDUINO_PSI,Arduino,87.550,48.138,0.000,,
8.900748,2025-12-11 09:59:32.303,ARDUINO_PSI,Arduino,87.812,44.288,0.000,,
9.000571,2025-12-11 09:59:32.403,ARDUINO_PSI,Arduino,88.550,46.550,0.000,,
9.100518,2025-12-11 09:59:32.503,ARDUINO_PSI,Arduino,89.613,47.325,0.000,,
9.200923,2025-12-11 09:59:32.603,ARDUINO_PSI,Arduino,89.712,47.237,0.000,,
9.278845,2025-12-11 09:59:32.681,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
9.279857,2025-12-11 09:59:32.682,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
9.300287,2025-12-11 09:59:32.702,ARDUINO_PSI,Arduino,86.837,45.013,0.000,,
9.400501,2025-12-11 09:59:32.803,ARDUINO_PSI,Arduino,89.037,46.088,0.000,,
9.500550,2025-12-11 09:59:32.903,ARDUINO_PSI,Arduino,87.912,46.575,0.000,,
9.600707,2025-12-11 09:59:33.003,ARDUINO_PSI,Arduino,86.150,46.325,0.000,,
9.700677,2025-12-11 09:59:33.103,ARDUINO_PSI,Arduino,87.425,43.600,0.000,,
9.800544,2025-12-11 09:59:33.203,ARDUINO_PSI,Arduino,89.787,46.625,0.000,,
9.809581,2025-12-11 09:59:33.212,WJ_VOLTAGE,WJ1,4.497,0.000,0,0,"HV=OFF, Fault=NO"
9.811530,2025-12-11 09:59:33.214,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
9.900613,2025-12-11 09:59:33.303,ARDUINO_PSI,Arduino,88.775,45.825,0.000,,
10.000593,2025-12-11 09:59:33.403,ARDUINO_PSI,Arduino,90.225,46.312,0.000,,
10.100796,2025-12-11 09:59:33.503,ARDUINO_PSI,Arduino,87.163,44.863,0.000,,
10.200877,2025-12-11 09:59:33.603,ARDUINO_PSI,Arduino,88.875,46.650,0.000,,
10.300748,2025-12-11 09:59:33.703,ARDUINO_PSI,Arduino,87.387,45.988,0.000,,
10.339268,2025-12-11 09:59:33.741,WJ_VOLTAGE,WJ2,9.286,0.000,0,0,"HV=OFF, Fault=NO"
10.340623,2025-12-11 09:59:33.743,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
10.402401,2025-12-11 09:59:33.805,ARDUINO_PSI,Arduino,87.325,43.850,0.000,,
10.500804,2025-12-11 09:59:33.903,ARDUINO_PSI,Arduino,88.463,44.725,0.000,,
10.600634,2025-12-11 09:59:34.003,ARDUINO_PSI,Arduino,86.587,45.600,0.000,,
10.700709,2025-12-11 09:59:34.103,ARDUINO_PSI,Arduino,88.725,45.888,0.000,,
10.800616,2025-12-11 09:59:34.203,ARDUINO_PSI,Arduino,87.987,44.150,0.000,,
10.868627,2025-12-11 09:59:34.271,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
10.871452,2025-12-11 09:59:34.274,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
10.900283,2025-12-11 09:59:34.302,ARDUINO_PSI,Arduino,88.787,46.538,0.000,,
11.000454,2025-12-11 09:59:34.403,ARDUINO_PSI,Arduino,88.650,47.100,0.000,,
11.100987,2025-12-11 09:59:34.503,ARDUINO_PSI,Arduino,89.500,44.563,0.000,,
11.200681,2025-12-11 09:59:34.603,ARDUINO_PSI,Arduino,86.025,46.425,0.000,,
11.300819,2025-12-11 09:59:34.703,ARDUINO_PSI,Arduino,89.275,43.212,0.000,,
11.398408,2025-12-11 09:59:34.801,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
11.401365,2025-12-11 09:59:34.803,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
11.405175,2025-12-11 09:59:34.807,ARDUINO_PSI,Arduino,88.512,46.712,0.000,,
11.500733,2025-12-11 09:59:34.903,ARDUINO_PSI,Arduino,88.800,43.612,0.000,,
11.600521,2025-12-11 09:59:35.003,ARDUINO_PSI,Arduino,86.925,45.362,0.000,,
11.700607,2025-12-11 09:59:35.103,ARDUINO_PSI,Arduino,89.037,45.088,0.000,,
11.800539,2025-12-11 09:59:35.203,ARDUINO_PSI,Arduino,88.350,46.950,0.000,,
11.900613,2025-12-11 09:59:35.303,ARDUINO_PSI,Arduino,87.675,43.275,0.000,,
11.924256,2025-12-11 09:59:35.326,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
11.925303,2025-12-11 09:59:35.327,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
12.000500,2025-12-11 09:59:35.403,ARDUINO_PSI,Arduino,89.625,45.612,0.000,,
12.100671,2025-12-11 09:59:35.503,ARDUINO_PSI,Arduino,89.888,46.262,0.000,,
12.200575,2025-12-11 09:59:35.603,ARDUINO_PSI,Arduino,88.837,44.150,0.000,,
12.300552,2025-12-11 09:59:35.703,ARDUINO_PSI,Arduino,88.625,45.888,0.000,,
12.400365,2025-12-11 09:59:35.802,ARDUINO_PSI,Arduino,86.850,47.075,0.000,,
12.455292,2025-12-11 09:59:35.857,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
12.456249,2025-12-11 09:59:35.858,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
12.500738,2025-12-11 09:59:35.903,ARDUINO_PSI,Arduino,87.987,47.375,0.000,,
12.600755,2025-12-11 09:59:36.003,ARDUINO_PSI,Arduino,88.100,47.688,0.000,,
12.700804,2025-12-11 09:59:36.103,ARDUINO_PSI,Arduino,86.675,45.325,0.000,,
12.800466,2025-12-11 09:59:36.203,ARDUINO_PSI,Arduino,88.037,45.088,0.000,,
12.900537,2025-12-11 09:59:36.303,ARDUINO_PSI,Arduino,86.775,45.288,0.000,,
12.987673,2025-12-11 09:59:36.390,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
12.989923,2025-12-11 09:59:36.392,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
13.000552,2025-12-11 09:59:36.403,ARDUINO_PSI,Arduino,85.800,46.050,0.000,,
13.100638,2025-12-11 09:59:36.503,ARDUINO_PSI,Arduino,89.425,47.825,0.000,,
13.200542,2025-12-11 09:59:36.603,ARDUINO_PSI,Arduino,87.125,46.300,0.000,,
13.300517,2025-12-11 09:59:36.703,ARDUINO_PSI,Arduino,86.325,45.975,0.000,,
13.400558,2025-12-11 09:59:36.803,ARDUINO_PSI,Arduino,89.450,46.750,0.000,,
13.500683,2025-12-11 09:59:36.903,ARDUINO_PSI,Arduino,87.837,43.600,0.000,,
13.515513,2025-12-11 09:59:36.918,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
13.517407,2025-12-11 09:59:36.920,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
13.600460,2025-12-11 09:59:37.003,ARDUINO_PSI,Arduino,86.300,45.975,0.000,,
13.702577,2025-12-11 09:59:37.105,ARDUINO_PSI,Arduino,88.763,45.837,0.000,,
13.800573,2025-12-11 09:59:37.203,ARDUINO_PSI,Arduino,84.900,46.300,0.000,,
13.900623,2025-12-11 09:59:37.303,ARDUINO_PSI,Arduino,88.050,45.925,0.000,,
14.000570,2025-12-11 09:59:37.403,ARDUINO_PSI,Arduino,89.575,47.188,0.000,,
14.044161,2025-12-11 09:59:37.446,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
14.045893,2025-12-11 09:59:37.448,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
14.100848,2025-12-11 09:59:37.503,ARDUINO_PSI,Arduino,86.075,47.150,0.000,,
14.200669,2025-12-11 09:59:37.603,ARDUINO_PSI,Arduino,87.025,44.188,0.000,,
14.300713,2025-12-11 09:59:37.703,ARDUINO_PSI,Arduino,89.000,46.637,0.000,,
14.400586,2025-12-11 09:59:37.803,ARDUINO_PSI,Arduino,88.763,42.425,0.000,,
14.500578,2025-12-11 09:59:37.903,ARDUINO_PSI,Arduino,87.250,46.025,0.000,,
14.573075,2025-12-11 09:59:37.975,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
14.575385,2025-12-11 09:59:37.978,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
14.600439,2025-12-11 09:59:38.003,ARDUINO_PSI,Arduino,89.237,44.875,0.000,,
14.700655,2025-12-11 09:59:38.103,ARDUINO_PSI,Arduino,88.625,46.913,0.000,,
14.800612,2025-12-11 09:59:38.203,ARDUINO_PSI,Arduino,86.325,46.237,0.000,,
14.902708,2025-12-11 09:59:38.305,ARDUINO_PSI,Arduino,86.625,46.250,0.000,,
15.000710,2025-12-11 09:59:38.403,ARDUINO_PSI,Arduino,88.750,47.188,0.000,,
15.100687,2025-12-11 09:59:38.503,ARDUINO_PSI,Arduino,87.075,45.163,0.000,,
15.107848,2025-12-11 09:59:38.510,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
15.110409,2025-12-11 09:59:38.513,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
15.200456,2025-12-11 09:59:38.603,ARDUINO_PSI,Arduino,85.763,46.325,0.000,,
15.300561,2025-12-11 09:59:38.703,ARDUINO_PSI,Arduino,88.525,46.475,0.000,,
15.400655,2025-12-11 09:59:38.803,ARDUINO_PSI,Arduino,88.225,44.300,0.000,,
15.500584,2025-12-11 09:59:38.903,ARDUINO_PSI,Arduino,91.025,44.188,0.000,,
15.602417,2025-12-11 09:59:39.005,ARDUINO_PSI,Arduino,88.463,44.788,0.000,,
15.635175,2025-12-11 09:59:39.037,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
15.636804,2025-12-11 09:59:39.039,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
15.700748,2025-12-11 09:59:39.103,ARDUINO_PSI,Arduino,89.362,44.413,0.000,,
15.800663,2025-12-11 09:59:39.203,ARDUINO_PSI,Arduino,89.450,44.988,0.000,,
15.900519,2025-12-11 09:59:39.303,ARDUINO_PSI,Arduino,87.475,44.100,0.000,,
16.000876,2025-12-11 09:59:39.403,ARDUINO_PSI,Arduino,85.250,45.212,0.000,,
16.101290,2025-12-11 09:59:39.503,ARDUINO_PSI,Arduino,86.288,47.325,0.000,,
16.164917,2025-12-11 09:59:39.567,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
16.167804,2025-12-11 09:59:39.570,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
16.200518,2025-12-11 09:59:39.603,ARDUINO_PSI,Arduino,87.387,46.700,0.000,,
16.300727,2025-12-11 09:59:39.703,ARDUINO_PSI,Arduino,87.188,46.237,0.000,,
16.400649,2025-12-11 09:59:39.803,ARDUINO_PSI,Arduino,85.763,44.938,0.000,,
16.500573,2025-12-11 09:59:39.903,ARDUINO_PSI,Arduino,90.225,46.800,0.000,,
16.600580,2025-12-11 09:59:40.003,ARDUINO_PSI,Arduino,89.000,46.975,0.000,,
16.692971,2025-12-11 09:59:40.095,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
16.695554,2025-12-11 09:59:40.098,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
16.700419,2025-12-11 09:59:40.103,ARDUINO_PSI,Arduino,88.700,45.700,0.000,,
16.800880,2025-12-11 09:59:40.203,ARDUINO_PSI,Arduino,85.812,44.300,0.000,,
16.902310,2025-12-11 09:59:40.304,ARDUINO_PSI,Arduino,88.275,46.562,0.000,,
17.000645,2025-12-11 09:59:40.403,ARDUINO_PSI,Arduino,90.362,45.825,0.000,,
17.100790,2025-12-11 09:59:40.503,ARDUINO_PSI,Arduino,88.763,45.812,0.000,,
17.200679,2025-12-11 09:59:40.603,ARDUINO_PSI,Arduino,90.388,45.712,0.000,,
17.225983,2025-12-11 09:59:40.628,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
17.227577,2025-12-11 09:59:40.630,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
17.300914,2025-12-11 09:59:40.703,ARDUINO_PSI,Arduino,87.963,47.100,0.000,,
17.400665,2025-12-11 09:59:40.803,ARDUINO_PSI,Arduino,87.062,46.500,0.000,,
17.500627,2025-12-11 09:59:40.903,ARDUINO_PSI,Arduino,88.900,47.362,0.000,,
17.600576,2025-12-11 09:59:41.003,ARDUINO_PSI,Arduino,86.387,44.438,0.000,,
17.700631,2025-12-11 09:59:41.103,ARDUINO_PSI,Arduino,89.362,45.475,0.000,,
17.755090,2025-12-11 09:59:41.157,WJ_VOLTAGE,WJ1,4.399,0.000,0,0,"HV=OFF, Fault=NO"
17.757087,2025-12-11 09:59:41.159,WJ_VOLTAGE,WJ2,9.189,0.000,0,0,"HV=OFF, Fault=NO"
17.800640,2025-12-11 09:59:41.203,ARDUINO_PSI,Arduino,90.188,45.000,0.000,,
17.900669,2025-12-11 09:59:41.303,ARDUINO_PSI,Arduino,86.862,47.100,0.000,,
18.000882,2025-12-11 09:59:41.403,ARDUINO_PSI,Arduino,90.037,45.800,0.000,,
18.100748,2025-12-11 09:59:41.503,ARDUINO_PSI,Arduino,87.425,44.800,0.000,,
