timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
4.371089,2025-12-09 11:29:34.537,INFO,SYSTEM,,,,,GUI started successfully
4.387520,2025-12-09 11:29:34.554,ARDUINO_PSI,Arduino,3.738,3.150,2.712,,
4.387907,2025-12-09 11:29:34.554,ARDUINO_PSI,Arduino,3.750,3.875,2.125,,
4.388069,2025-12-09 11:29:34.554,ARDUINO_PSI,Arduino,4.188,3.187,2.125,,
4.388244,2025-12-09 11:29:34.554,ARDUINO_PSI,Arduino,3.612,3.012,2.150,,
4.388490,2025-12-09 11:29:34.555,ARDUINO_PSI,Arduino,3.912,2.525,2.125,,
4.390257,2025-12-09 11:29:34.556,ARDUINO_PSI,Arduino,4.138,3.425,2.387,,
4.509944,2025-12-09 11:29:34.676,ARDUINO_PSI,Arduino,3.987,3.250,2.138,,
4.530125,2025-12-09 11:29:34.696,ARDUINO_PSI,Arduino,4.000,3.375,2.363,,
4.630532,2025-12-09 11:29:34.797,ARDUINO_PSI,Arduino,3.975,2.687,2.375,,
4.730089,2025-12-09 11:29:34.896,ARDUINO_PSI,Arduino,4.400,3.775,2.438,,
4.816900,2025-12-09 11:29:34.983,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
4.818087,2025-12-09 11:29:34.984,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
4.834914,2025-12-09 11:29:35.001,ARDUINO_PSI,Arduino,4.400,3.225,2.238,,
4.930349,2025-12-09 11:29:35.096,ARDUINO_PSI,Arduino,4.138,3.500,2.175,,
5.030319,2025-12-09 11:29:35.196,ARDUINO_PSI,Arduino,3.838,3.212,2.575,,
5.130215,2025-12-09 11:29:35.296,ARDUINO_PSI,Arduino,4.100,4.612,2.212,,
5.230053,2025-12-09 11:29:35.396,ARDUINO_PSI,Arduino,3.925,3.087,2.225,,
5.330048,2025-12-09 11:29:35.496,ARDUINO_PSI,Arduino,4.475,3.225,2.300,,
5.430493,2025-12-09 11:29:35.597,ARDUINO_PSI,Arduino,5.112,3.500,2.412,,
5.489157,2025-12-09 11:29:35.655,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.490676,2025-12-09 11:29:35.657,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.530585,2025-12-09 11:29:35.697,ARDUINO_PSI,Arduino,3.775,3.175,2.263,,
5.631044,2025-12-09 11:29:35.797,ARDUINO_PSI,Arduino,4.400,3.087,2.675,,
5.730254,2025-12-09 11:29:35.896,ARDUINO_PSI,Arduino,4.000,2.987,2.900,,
5.830468,2025-12-09 11:29:35.997,ARDUINO_PSI,Arduino,4.112,3.238,2.025,,
5.930415,2025-12-09 11:29:36.096,ARDUINO_PSI,Arduino,4.363,3.525,2.587,,
6.031765,2025-12-09 11:29:36.198,ARDUINO_PSI,Arduino,3.863,3.338,2.463,,
6.130384,2025-12-09 11:29:36.296,ARDUINO_PSI,Arduino,4.812,3.200,2.900,,
6.155917,2025-12-09 11:29:36.322,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.156852,2025-12-09 11:29:36.323,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.230503,2025-12-09 11:29:36.397,ARDUINO_PSI,Arduino,3.875,3.612,2.263,,
6.330634,2025-12-09 11:29:36.497,ARDUINO_PSI,Arduino,3.850,3.375,2.575,,
6.430605,2025-12-09 11:29:36.597,ARDUINO_PSI,Arduino,4.163,3.487,2.187,,
6.530341,2025-12-09 11:29:36.696,ARDUINO_PSI,Arduino,4.350,3.025,2.150,,
6.630601,2025-12-09 11:29:36.797,ARDUINO_PSI,Arduino,3.750,3.325,2.363,,
6.731593,2025-12-09 11:29:36.898,ARDUINO_PSI,Arduino,4.387,2.925,2.138,,
6.824297,2025-12-09 11:29:36.990,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.826017,2025-12-09 11:29:36.992,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.842942,2025-12-09 11:29:37.009,ARDUINO_PSI,Arduino,4.212,3.663,2.400,,
