timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
3.095459,2025-12-09 13:50:51.263,INFO,SYSTEM,,,,,GUI started successfully
3.119181,2025-12-09 13:50:51.287,ARDUINO_PSI,Arduino,4.163,3.550,2.525,,
3.119572,2025-12-09 13:50:51.287,ARDUINO_PSI,Arduino,4.350,3.712,2.463,,
3.119814,2025-12-09 13:50:51.287,ARDUINO_PSI,Arduino,3.550,2.987,2.075,,
3.120038,2025-12-09 13:50:51.287,ARDUINO_PSI,Arduino,4.100,3.625,2.687,,
3.130766,2025-12-09 13:50:51.298,ARDUINO_PSI,Arduino,4.387,2.900,2.687,,
3.143115,2025-12-09 13:50:51.310,ARDUINO_PSI,Arduino,4.050,3.850,1.800,,
3.249951,2025-12-09 13:50:51.417,ARDUINO_PSI,Arduino,3.812,3.812,2.712,,
3.303027,2025-12-09 13:50:51.470,ARDUINO_PSI,Arduino,4.238,3.263,2.387,,
3.403230,2025-12-09 13:50:51.571,ARDUINO_PSI,Arduino,4.688,3.763,3.225,,
3.502987,2025-12-09 13:50:51.670,ARDUINO_PSI,Arduino,4.450,3.263,2.763,,
3.603228,2025-12-09 13:50:51.771,ARDUINO_PSI,Arduino,4.500,3.438,3.087,,
3.703188,2025-12-09 13:50:51.871,ARDUINO_PSI,Arduino,3.975,5.037,2.550,,
3.802990,2025-12-09 13:50:51.970,ARDUINO_PSI,Arduino,4.000,3.387,1.100,,
3.902903,2025-12-09 13:50:52.070,ARDUINO_PSI,Arduino,4.087,3.525,2.463,,
4.003307,2025-12-09 13:50:52.171,ARDUINO_PSI,Arduino,4.225,3.425,2.687,,
4.103242,2025-12-09 13:50:52.271,ARDUINO_PSI,Arduino,4.087,3.025,3.138,,
4.203303,2025-12-09 13:50:52.371,ARDUINO_PSI,Arduino,4.138,3.300,2.825,,
4.303152,2025-12-09 13:50:52.471,ARDUINO_PSI,Arduino,4.138,4.363,2.363,,
4.403340,2025-12-09 13:50:52.571,ARDUINO_PSI,Arduino,4.387,2.900,2.800,,
4.503353,2025-12-09 13:50:52.671,ARDUINO_PSI,Arduino,4.412,3.275,3.000,,
4.603224,2025-12-09 13:50:52.771,ARDUINO_PSI,Arduino,4.188,3.625,2.612,,
4.703383,2025-12-09 13:50:52.871,ARDUINO_PSI,Arduino,3.938,3.450,2.063,,
4.803152,2025-12-09 13:50:52.971,ARDUINO_PSI,Arduino,3.750,3.375,2.450,,
4.903026,2025-12-09 13:50:53.070,ARDUINO_PSI,Arduino,3.825,3.475,1.838,,
5.003323,2025-12-09 13:50:53.171,ARDUINO_PSI,Arduino,4.050,3.987,2.375,,
5.103279,2025-12-09 13:50:53.271,ARDUINO_PSI,Arduino,5.250,4.638,2.600,,
5.210500,2025-12-09 13:50:53.378,ARDUINO_PSI,Arduino,4.412,3.275,2.638,,
5.392616,2025-12-09 13:50:53.560,BNC575_PULSE,BNC575,INTERNAL,,,,INTERNAL
5.394608,2025-12-09 13:50:53.562,ARDUINO_PSI,Arduino,4.000,3.338,2.475,,
5.402881,2025-12-09 13:50:53.570,ARDUINO_PSI,Arduino,4.138,3.538,2.525,,
5.503391,2025-12-09 13:50:53.671,ARDUINO_PSI,Arduino,4.375,3.787,2.812,,
5.603124,2025-12-09 13:50:53.770,ARDUINO_PSI,Arduino,4.188,3.450,2.612,,
5.703237,2025-12-09 13:50:53.871,ARDUINO_PSI,Arduino,4.312,3.212,2.875,,
5.803009,2025-12-09 13:50:53.970,ARDUINO_PSI,Arduino,4.238,3.363,2.312,,
5.902952,2025-12-09 13:50:54.070,ARDUINO_PSI,Arduino,4.312,3.638,2.263,,
6.003901,2025-12-09 13:50:54.171,ARDUINO_PSI,Arduino,4.050,3.825,2.225,,
6.103323,2025-12-09 13:50:54.271,ARDUINO_PSI,Arduino,4.350,3.175,2.650,,
6.203010,2025-12-09 13:50:54.370,ARDUINO_PSI,Arduino,4.300,3.675,3.238,,
6.303285,2025-12-09 13:50:54.471,ARDUINO_PSI,Arduino,3.912,3.550,2.538,,
6.403187,2025-12-09 13:50:54.571,ARDUINO_PSI,Arduino,4.300,4.163,2.325,,
6.503325,2025-12-09 13:50:54.671,ARDUINO_PSI,Arduino,4.287,3.525,2.512,,
6.602313,2025-12-09 13:50:54.770,BNC575_PULSE,BNC575,INTERNAL,,,,INTERNAL
6.604444,2025-12-09 13:50:54.772,ARDUINO_PSI,Arduino,4.412,3.800,2.400,,
6.703270,2025-12-09 13:50:54.871,ARDUINO_PSI,Arduino,4.438,3.100,2.238,,
6.803279,2025-12-09 13:50:54.971,ARDUINO_PSI,Arduino,3.775,3.712,2.538,,
6.903086,2025-12-09 13:50:55.070,ARDUINO_PSI,Arduino,3.838,3.787,2.525,,
7.002928,2025-12-09 13:50:55.170,ARDUINO_PSI,Arduino,4.188,3.912,2.675,,
7.103206,2025-12-09 13:50:55.271,ARDUINO_PSI,Arduino,4.438,3.425,3.363,,
7.204210,2025-12-09 13:50:55.372,ARDUINO_PSI,Arduino,4.225,3.487,2.163,,
7.303548,2025-12-09 13:50:55.471,ARDUINO_PSI,Arduino,4.025,4.012,2.350,,
7.403202,2025-12-09 13:50:55.571,ARDUINO_PSI,Arduino,4.225,3.525,2.525,,
7.503561,2025-12-09 13:50:55.671,ARDUINO_PSI,Arduino,4.050,3.525,2.300,,
7.603275,2025-12-09 13:50:55.771,ARDUINO_PSI,Arduino,3.900,3.800,2.450,,
7.703432,2025-12-09 13:50:55.871,ARDUINO_PSI,Arduino,4.150,3.487,2.750,,
7.803915,2025-12-09 13:50:55.971,ARDUINO_PSI,Arduino,4.050,2.175,2.700,,
7.903215,2025-12-09 13:50:56.071,ARDUINO_PSI,Arduino,4.350,3.512,2.525,,
8.002971,2025-12-09 13:50:56.170,ARDUINO_PSI,Arduino,4.350,3.300,1.738,,
8.102963,2025-12-09 13:50:56.270,ARDUINO_PSI,Arduino,3.938,3.387,2.550,,
8.203159,2025-12-09 13:50:56.371,ARDUINO_PSI,Arduino,4.225,3.575,2.763,,
8.303223,2025-12-09 13:50:56.471,ARDUINO_PSI,Arduino,4.937,3.487,2.563,,
8.403324,2025-12-09 13:50:56.571,ARDUINO_PSI,Arduino,4.287,3.787,2.425,,
8.503429,2025-12-09 13:50:56.671,ARDUINO_PSI,Arduino,5.125,3.375,2.512,,
8.603063,2025-12-09 13:50:56.770,ARDUINO_PSI,Arduino,4.138,3.375,2.612,,
8.703237,2025-12-09 13:50:56.871,ARDUINO_PSI,Arduino,4.700,3.675,3.075,,
8.803225,2025-12-09 13:50:56.971,ARDUINO_PSI,Arduino,4.312,3.275,2.200,,
8.970007,2025-12-09 13:50:57.137,BNC575_PULSE,BNC575,INTERNAL,,,,INTERNAL
8.971335,2025-12-09 13:50:57.139,ARDUINO_PSI,Arduino,4.325,3.263,2.138,,
9.003228,2025-12-09 13:50:57.171,ARDUINO_PSI,Arduino,4.325,3.638,2.925,,
9.103008,2025-12-09 13:50:57.270,ARDUINO_PSI,Arduino,4.588,3.087,3.250,,
9.203254,2025-12-09 13:50:57.371,ARDUINO_PSI,Arduino,4.312,3.712,2.725,,
9.303209,2025-12-09 13:50:57.471,ARDUINO_PSI,Arduino,4.063,3.487,2.763,,
9.403257,2025-12-09 13:50:57.571,ARDUINO_PSI,Arduino,4.325,3.487,2.325,,
9.503344,2025-12-09 13:50:57.671,ARDUINO_PSI,Arduino,4.175,3.975,2.838,,
9.603138,2025-12-09 13:50:57.771,ARDUINO_PSI,Arduino,3.975,3.950,2.500,,
9.703397,2025-12-09 13:50:57.871,ARDUINO_PSI,Arduino,4.338,3.950,2.663,,
9.802952,2025-12-09 13:50:57.970,ARDUINO_PSI,Arduino,4.225,3.963,2.675,,
9.903088,2025-12-09 13:50:58.070,ARDUINO_PSI,Arduino,4.225,3.863,2.787,,
10.003240,2025-12-09 13:50:58.171,ARDUINO_PSI,Arduino,4.150,3.612,3.025,,
10.103202,2025-12-09 13:50:58.271,ARDUINO_PSI,Arduino,4.338,3.112,2.850,,
10.203710,2025-12-09 13:50:58.371,ARDUINO_PSI,Arduino,4.225,3.287,2.412,,
10.302919,2025-12-09 13:50:58.470,ARDUINO_PSI,Arduino,4.000,3.450,2.712,,
10.403265,2025-12-09 13:50:58.571,ARDUINO_PSI,Arduino,4.150,2.675,2.038,,
10.503653,2025-12-09 13:50:58.671,ARDUINO_PSI,Arduino,4.050,3.312,2.763,,
10.603206,2025-12-09 13:50:58.771,ARDUINO_PSI,Arduino,4.412,3.612,2.925,,
10.703011,2025-12-09 13:50:58.870,ARDUINO_PSI,Arduino,4.250,3.575,2.675,,
10.803341,2025-12-09 13:50:58.971,ARDUINO_PSI,Arduino,4.250,3.425,2.075,,
10.903279,2025-12-09 13:50:59.071,ARDUINO_PSI,Arduino,4.350,3.687,2.450,,
11.003088,2025-12-09 13:50:59.170,ARDUINO_PSI,Arduino,4.375,3.363,2.238,,
11.103056,2025-12-09 13:50:59.270,ARDUINO_PSI,Arduino,4.012,3.450,2.563,,
11.203206,2025-12-09 13:50:59.371,ARDUINO_PSI,Arduino,4.350,3.238,2.800,,
11.303246,2025-12-09 13:50:59.471,ARDUINO_PSI,Arduino,4.150,3.338,2.300,,
11.403286,2025-12-09 13:50:59.571,ARDUINO_PSI,Arduino,4.387,3.200,2.363,,
11.503383,2025-12-09 13:50:59.671,ARDUINO_PSI,Arduino,4.012,3.587,2.425,,
11.603486,2025-12-09 13:50:59.771,ARDUINO_PSI,Arduino,4.375,3.800,2.763,,
11.703390,2025-12-09 13:50:59.871,ARDUINO_PSI,Arduino,4.263,3.463,2.575,,
11.803459,2025-12-09 13:50:59.971,ARDUINO_PSI,Arduino,4.350,3.925,2.438,,
11.978690,2025-12-09 13:51:00.146,BNC575_ARM,BNC575,2.500,,,,Armed for EXT trigger at 2.5V
11.979372,2025-12-09 13:51:00.147,ARDUINO_PSI,Arduino,3.450,3.975,2.563,,
12.002944,2025-12-09 13:51:00.170,ARDUINO_PSI,Arduino,4.338,3.612,2.725,,
12.103165,2025-12-09 13:51:00.271,ARDUINO_PSI,Arduino,4.750,3.625,2.412,,
12.203640,2025-12-09 13:51:00.371,ARDUINO_PSI,Arduino,4.387,3.363,2.912,,
12.303182,2025-12-09 13:51:00.471,ARDUINO_PSI,Arduino,4.150,3.600,2.063,,
12.403328,2025-12-09 13:51:00.571,ARDUINO_PSI,Arduino,4.138,4.350,2.663,,
