timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
3.893637,2025-12-09 13:21:00.581,INFO,SYSTEM,,,,,GUI started successfully
3.913726,2025-12-09 13:21:00.601,ARDUINO_PSI,Arduino,4.300,3.650,2.687,,
3.914062,2025-12-09 13:21:00.602,ARDUINO_PSI,Arduino,4.325,3.025,3.050,,
3.914246,2025-12-09 13:21:00.602,ARDUINO_PSI,Arduino,4.563,1.975,3.050,,
3.914482,2025-12-09 13:21:00.602,ARDUINO_PSI,Arduino,4.200,2.787,2.487,,
3.914658,2025-12-09 13:21:00.602,ARDUINO_PSI,Arduino,3.912,4.163,2.175,,
3.914867,2025-12-09 13:21:00.603,ARDUINO_PSI,Arduino,4.425,3.350,2.825,,
3.920701,2025-12-09 13:21:00.608,ARDUINO_PSI,Arduino,4.212,4.412,3.138,,
3.921100,2025-12-09 13:21:00.609,ARDUINO_PSI,Arduino,3.938,3.887,2.600,,
3.921330,2025-12-09 13:21:00.609,ARDUINO_PSI,Arduino,4.287,3.463,3.287,,
3.921504,2025-12-09 13:21:00.609,ARDUINO_PSI,Arduino,1.875,3.263,1.500,,
3.921679,2025-12-09 13:21:00.609,ARDUINO_PSI,Arduino,4.312,2.887,2.238,,
3.921816,2025-12-09 13:21:00.610,ARDUINO_PSI,Arduino,3.938,3.825,2.238,,
3.922000,2025-12-09 13:21:00.610,ARDUINO_PSI,Arduino,4.563,3.325,3.100,,
3.935478,2025-12-09 13:21:00.623,ARDUINO_PSI,Arduino,3.963,4.737,2.200,,
3.939987,2025-12-09 13:21:00.628,ARDUINO_PSI,Arduino,4.663,4.975,2.163,,
4.025959,2025-12-09 13:21:00.714,ARDUINO_PSI,Arduino,4.250,3.487,2.625,,
4.074687,2025-12-09 13:21:00.762,ARDUINO_PSI,Arduino,3.987,4.125,2.125,,
4.174837,2025-12-09 13:21:00.863,ARDUINO_PSI,Arduino,4.538,3.525,2.287,,
4.274790,2025-12-09 13:21:00.963,ARDUINO_PSI,Arduino,4.175,3.963,2.887,,
