timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
4.594180,2025-12-09 11:28:55.026,INFO,SYSTEM,,,,,GUI started successfully
4.606669,2025-12-09 11:28:55.038,ARDUINO_PSI,Arduino,4.387,3.100,2.138,,
4.606980,2025-12-09 11:28:55.039,ARDUINO_PSI,Arduino,4.300,3.375,2.475,,
4.607201,2025-12-09 11:28:55.039,ARDUINO_PSI,Arduino,3.950,3.287,2.450,,
4.607374,2025-12-09 11:28:55.039,ARDUINO_PSI,Arduino,4.238,3.412,2.338,,
4.607562,2025-12-09 11:28:55.039,ARDUINO_PSI,Arduino,4.650,3.250,2.812,,
4.607749,2025-12-09 11:28:55.039,ARDUINO_PSI,Arduino,4.400,3.387,2.475,,
4.614565,2025-12-09 11:28:55.046,ARDUINO_PSI,Arduino,4.363,3.338,2.250,,
4.614804,2025-12-09 11:28:55.046,ARDUINO_PSI,Arduino,4.212,3.363,2.225,,
4.616829,2025-12-09 11:28:55.048,ARDUINO_PSI,Arduino,4.063,2.900,2.300,,
4.712197,2025-12-09 11:28:55.144,ARDUINO_PSI,Arduino,4.138,3.312,2.663,,
4.764262,2025-12-09 11:28:55.196,ARDUINO_PSI,Arduino,4.163,3.375,2.412,,
4.864341,2025-12-09 11:28:55.296,ARDUINO_PSI,Arduino,4.138,3.112,2.438,,
4.964855,2025-12-09 11:28:55.397,ARDUINO_PSI,Arduino,3.687,3.325,2.363,,
5.029454,2025-12-09 11:28:55.461,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.031196,2025-12-09 11:28:55.463,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.064399,2025-12-09 11:28:55.496,ARDUINO_PSI,Arduino,4.075,2.338,2.425,,
5.164466,2025-12-09 11:28:55.596,ARDUINO_PSI,Arduino,4.212,3.512,2.787,,
5.264471,2025-12-09 11:28:55.696,ARDUINO_PSI,Arduino,3.987,3.312,2.663,,
5.364225,2025-12-09 11:28:55.796,ARDUINO_PSI,Arduino,3.863,3.087,2.787,,
5.464194,2025-12-09 11:28:55.896,ARDUINO_PSI,Arduino,4.325,3.225,2.063,,
5.564472,2025-12-09 11:28:55.996,ARDUINO_PSI,Arduino,4.125,3.938,2.663,,
5.664567,2025-12-09 11:28:56.096,ARDUINO_PSI,Arduino,4.100,3.438,1.650,,
5.695351,2025-12-09 11:28:56.127,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.696049,2025-12-09 11:28:56.128,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
5.764648,2025-12-09 11:28:56.196,ARDUINO_PSI,Arduino,4.325,3.287,2.025,,
5.864920,2025-12-09 11:28:56.297,ARDUINO_PSI,Arduino,4.325,2.963,2.600,,
5.964563,2025-12-09 11:28:56.396,ARDUINO_PSI,Arduino,3.825,3.312,2.500,,
6.065059,2025-12-09 11:28:56.497,ARDUINO_PSI,Arduino,4.025,3.175,2.787,,
6.164494,2025-12-09 11:28:56.596,ARDUINO_PSI,Arduino,2.838,3.300,2.312,,
6.264607,2025-12-09 11:28:56.696,ARDUINO_PSI,Arduino,4.212,3.400,2.838,,
6.362075,2025-12-09 11:28:56.794,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.363670,2025-12-09 11:28:56.795,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
6.376446,2025-12-09 11:28:56.808,ARDUINO_PSI,Arduino,3.987,3.050,1.912,,
6.464614,2025-12-09 11:28:56.896,ARDUINO_PSI,Arduino,4.212,3.463,2.587,,
6.564689,2025-12-09 11:28:56.996,ARDUINO_PSI,Arduino,4.238,3.475,2.087,,
6.664455,2025-12-09 11:28:57.096,ARDUINO_PSI,Arduino,4.625,3.563,2.400,,
6.764396,2025-12-09 11:28:57.196,ARDUINO_PSI,Arduino,4.438,3.625,2.800,,
6.864501,2025-12-09 11:28:57.296,ARDUINO_PSI,Arduino,4.150,3.350,2.063,,
6.964587,2025-12-09 11:28:57.396,ARDUINO_PSI,Arduino,4.100,3.525,2.638,,
7.034649,2025-12-09 11:28:57.466,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
7.035285,2025-12-09 11:28:57.467,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
7.064343,2025-12-09 11:28:57.496,ARDUINO_PSI,Arduino,3.863,3.038,3.600,,
7.164572,2025-12-09 11:28:57.596,ARDUINO_PSI,Arduino,3.687,3.325,2.700,,
7.264487,2025-12-09 11:28:57.696,ARDUINO_PSI,Arduino,4.000,3.150,2.875,,
7.364577,2025-12-09 11:28:57.796,ARDUINO_PSI,Arduino,4.250,3.363,2.138,,
7.464570,2025-12-09 11:28:57.896,ARDUINO_PSI,Arduino,3.875,2.700,2.375,,
7.564562,2025-12-09 11:28:57.996,ARDUINO_PSI,Arduino,4.512,2.338,2.863,,
7.664553,2025-12-09 11:28:58.096,ARDUINO_PSI,Arduino,4.912,3.075,2.587,,
7.707045,2025-12-09 11:28:58.139,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
7.708569,2025-12-09 11:28:58.140,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
7.764638,2025-12-09 11:28:58.196,ARDUINO_PSI,Arduino,3.950,3.187,2.375,,
7.864572,2025-12-09 11:28:58.296,ARDUINO_PSI,Arduino,3.800,3.687,2.112,,
7.965145,2025-12-09 11:28:58.397,ARDUINO_PSI,Arduino,4.350,3.212,2.487,,
8.064596,2025-12-09 11:28:58.496,ARDUINO_PSI,Arduino,3.987,3.300,2.250,,
8.164604,2025-12-09 11:28:58.596,ARDUINO_PSI,Arduino,3.712,3.650,2.125,,
8.264618,2025-12-09 11:28:58.696,ARDUINO_PSI,Arduino,4.012,3.363,2.012,,
8.364754,2025-12-09 11:28:58.796,ARDUINO_PSI,Arduino,3.850,3.600,2.638,,
8.375211,2025-12-09 11:28:58.807,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
8.375690,2025-12-09 11:28:58.807,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
8.464563,2025-12-09 11:28:58.896,ARDUINO_PSI,Arduino,3.900,3.575,2.425,,
8.564802,2025-12-09 11:28:58.996,ARDUINO_PSI,Arduino,3.850,3.100,2.238,,
8.664539,2025-12-09 11:28:59.096,ARDUINO_PSI,Arduino,3.925,3.563,2.512,,
8.764686,2025-12-09 11:28:59.196,ARDUINO_PSI,Arduino,3.663,2.938,2.687,,
8.864495,2025-12-09 11:28:59.296,ARDUINO_PSI,Arduino,4.000,3.538,2.300,,
8.964610,2025-12-09 11:28:59.396,ARDUINO_PSI,Arduino,4.563,3.000,2.225,,
9.049252,2025-12-09 11:28:59.481,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
9.050213,2025-12-09 11:28:59.482,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
9.064254,2025-12-09 11:28:59.496,ARDUINO_PSI,Arduino,4.312,2.925,2.800,,
9.164482,2025-12-09 11:28:59.596,ARDUINO_PSI,Arduino,4.625,3.250,2.438,,
9.264640,2025-12-09 11:28:59.696,ARDUINO_PSI,Arduino,3.887,3.800,2.525,,
9.364665,2025-12-09 11:28:59.796,ARDUINO_PSI,Arduino,4.175,2.975,1.900,,
9.464588,2025-12-09 11:28:59.896,ARDUINO_PSI,Arduino,4.263,3.350,2.325,,
9.564713,2025-12-09 11:28:59.996,ARDUINO_PSI,Arduino,4.550,2.538,1.938,,
9.664757,2025-12-09 11:29:00.096,ARDUINO_PSI,Arduino,4.912,3.363,2.587,,
9.717357,2025-12-09 11:29:00.149,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
9.718645,2025-12-09 11:29:00.150,WJ_VOLTAGE,WJ1,20.039,0.000,0,0,"HV=OFF, Fault=NO"
9.764293,2025-12-09 11:29:00.196,ARDUINO_PSI,Arduino,4.038,3.775,2.938,,
9.864268,2025-12-09 11:29:00.296,ARDUINO_PSI,Arduino,4.138,3.125,2.538,,
9.964282,2025-12-09 11:29:00.396,ARDUINO_PSI,Arduino,4.225,3.212,2.512,,
10.064326,2025-12-09 11:29:00.496,ARDUINO_PSI,Arduino,4.350,3.287,1.900,,
10.164263,2025-12-09 11:29:00.596,ARDUINO_PSI,Arduino,3.350,2.575,2.650,,
10.264252,2025-12-09 11:29:00.696,ARDUINO_PSI,Arduino,3.750,3.250,2.825,,
10.364366,2025-12-09 11:29:00.796,ARDUINO_PSI,Arduino,4.450,3.512,2.738,,
10.376250,2025-12-09 11:29:00.808,WJ_VOLTAGE,WJ2,20.039,0.000,0,0,"HV=OFF, Fault=NO"
