timestamp_sec,datetime,event_type,source,param1,param2,param3,param4,notes
3.909806,2025-12-11 09:49:51.217,INFO,SYSTEM,,,,,GUI started successfully
4.118422,2025-12-11 09:49:51.426,ARDUINO_PSI,Arduino,90.575,68.100,0.000,,
4.118743,2025-12-11 09:49:51.426,ARDUINO_PSI,Arduino,89.437,68.738,0.000,,
4.118891,2025-12-11 09:49:51.426,ARDUINO_PSI,Arduino,87.775,69.362,0.000,,
4.123266,2025-12-11 09:49:51.431,ARDUINO_PSI,Arduino,89.800,72.450,0.000,,
4.137632,2025-12-11 09:49:51.445,ARDUINO_PSI,Arduino,88.138,68.912,0.000,,
4.138241,2025-12-11 09:49:51.446,ARDUINO_PSI,Arduino,87.787,70.663,0.000,,
4.139690,2025-12-11 09:49:51.447,ARDUINO_PSI,Arduino,86.725,68.950,0.000,,
4.201679,2025-12-11 09:49:51.509,ARDUINO_PSI,Arduino,90.000,68.962,0.000,,
4.292500,2025-12-11 09:49:51.600,ARDUINO_PSI,Arduino,88.237,66.912,0.000,,
4.392329,2025-12-11 09:49:51.700,ARDUINO_PSI,Arduino,89.650,69.788,0.000,,
4.492999,2025-12-11 09:49:51.800,ARDUINO_PSI,Arduino,89.725,72.212,0.000,,
4.524559,2025-12-11 09:49:51.832,WJ_VOLTAGE,WJ2,44.770,0.000,0,0,"HV=OFF, Fault=NO"
4.527008,2025-12-11 09:49:51.834,WJ_VOLTAGE,WJ1,39.785,0.000,0,0,"HV=OFF, Fault=NO"
4.592467,2025-12-11 09:49:51.900,ARDUINO_PSI,Arduino,87.300,71.225,0.000,,
4.692726,2025-12-11 09:49:52.000,ARDUINO_PSI,Arduino,88.312,67.600,0.000,,
4.793067,2025-12-11 09:49:52.100,ARDUINO_PSI,Arduino,87.712,69.125,0.000,,
4.892649,2025-12-11 09:49:52.200,ARDUINO_PSI,Arduino,88.112,68.112,0.000,,
5.214807,2025-12-11 09:49:52.522,ARDUINO_PSI,Arduino,86.812,69.562,0.000,,
5.218910,2025-12-11 09:49:52.526,WJ_VOLTAGE,WJ2,44.770,0.000,0,0,"HV=OFF, Fault=NO"
5.219969,2025-12-11 09:49:52.527,WJ_VOLTAGE,WJ1,39.785,0.000,0,0,"HV=OFF, Fault=NO"
5.220363,2025-12-11 09:49:52.528,ARDUINO_PSI,Arduino,88.688,69.475,0.000,,
5.222333,2025-12-11 09:49:52.530,ARDUINO_PSI,Arduino,87.488,71.775,0.000,,
5.292505,2025-12-11 09:49:52.600,ARDUINO_PSI,Arduino,86.950,72.650,0.000,,
5.392390,2025-12-11 09:49:52.700,ARDUINO_PSI,Arduino,90.712,67.738,0.000,,
5.492287,2025-12-11 09:49:52.800,ARDUINO_PSI,Arduino,87.413,71.463,0.000,,
5.578882,2025-12-11 09:49:52.886,WJ_VOLTAGE,WJ2,44.770,0.000,0,0,"HV=OFF, Fault=NO"
5.582105,2025-12-11 09:49:52.889,WJ_VOLTAGE,WJ1,39.687,0.000,0,0,"HV=OFF, Fault=NO"
5.592748,2025-12-11 09:49:52.900,ARDUINO_PSI,Arduino,89.512,69.562,0.000,,
5.693159,2025-12-11 09:49:53.000,ARDUINO_PSI,Arduino,90.475,69.350,0.000,,
5.792839,2025-12-11 09:49:53.100,ARDUINO_PSI,Arduino,88.963,72.212,0.000,,
5.892790,2025-12-11 09:49:53.200,ARDUINO_PSI,Arduino,88.587,71.775,0.000,,
5.992786,2025-12-11 09:49:53.300,ARDUINO_PSI,Arduino,86.725,69.600,0.000,,
6.092602,2025-12-11 09:49:53.400,ARDUINO_PSI,Arduino,89.437,69.825,0.000,,
6.106770,2025-12-11 09:49:53.414,WJ_VOLTAGE,WJ1,39.687,0.000,0,0,"HV=OFF, Fault=NO"
6.108333,2025-12-11 09:49:53.416,WJ_VOLTAGE,WJ2,44.770,0.000,0,0,"HV=OFF, Fault=NO"
6.192564,2025-12-11 09:49:53.500,ARDUINO_PSI,Arduino,92.625,70.525,0.000,,
6.293078,2025-12-11 09:49:53.600,ARDUINO_PSI,Arduino,89.362,71.325,0.000,,
6.392570,2025-12-11 09:49:53.700,ARDUINO_PSI,Arduino,88.175,71.200,0.000,,
6.492682,2025-12-11 09:49:53.800,ARDUINO_PSI,Arduino,88.700,69.425,0.000,,
6.592606,2025-12-11 09:49:53.900,ARDUINO_PSI,Arduino,86.925,68.562,0.000,,
6.637099,2025-12-11 09:49:53.944,WJ_VOLTAGE,WJ2,44.673,0.000,0,0,"HV=OFF, Fault=NO"
6.639888,2025-12-11 09:49:53.947,WJ_VOLTAGE,WJ1,39.687,0.000,0,0,"HV=OFF, Fault=NO"
6.692539,2025-12-11 09:49:54.000,ARDUINO_PSI,Arduino,88.250,70.775,0.000,,
6.792554,2025-12-11 09:49:54.100,ARDUINO_PSI,Arduino,87.613,72.200,0.000,,
6.892603,2025-12-11 09:49:54.200,ARDUINO_PSI,Arduino,90.013,69.213,0.000,,
6.992752,2025-12-11 09:49:54.300,ARDUINO_PSI,Arduino,89.475,70.013,0.000,,
7.092497,2025-12-11 09:49:54.400,ARDUINO_PSI,Arduino,88.100,68.787,0.000,,
7.165846,2025-12-11 09:49:54.473,WJ_VOLTAGE,WJ1,39.687,0.000,0,0,"HV=OFF, Fault=NO"
7.167893,2025-12-11 09:49:54.475,WJ_VOLTAGE,WJ2,44.673,0.000,0,0,"HV=OFF, Fault=NO"
7.192354,2025-12-11 09:49:54.500,ARDUINO_PSI,Arduino,87.450,69.175,0.000,,
7.292727,2025-12-11 09:49:54.600,ARDUINO_PSI,Arduino,87.987,67.750,0.000,,
7.396616,2025-12-11 09:49:54.704,ARDUINO_PSI,Arduino,88.213,67.787,0.000,,
7.492564,2025-12-11 09:49:54.800,ARDUINO_PSI,Arduino,88.737,69.887,0.000,,
7.592607,2025-12-11 09:49:54.900,ARDUINO_PSI,Arduino,88.213,67.825,0.000,,
7.692560,2025-12-11 09:49:55.000,ARDUINO_PSI,Arduino,87.712,66.837,0.000,,
7.700466,2025-12-11 09:49:55.008,WJ_VOLTAGE,WJ2,44.673,0.000,0,0,"HV=OFF, Fault=NO"
7.703564,2025-12-11 09:49:55.011,WJ_VOLTAGE,WJ1,39.687,0.000,0,0,"HV=OFF, Fault=NO"
7.792527,2025-12-11 09:49:55.100,ARDUINO_PSI,Arduino,89.100,67.837,0.000,,
7.892618,2025-12-11 09:49:55.200,ARDUINO_PSI,Arduino,88.150,71.588,0.000,,
7.992412,2025-12-11 09:49:55.300,ARDUINO_PSI,Arduino,89.338,69.925,0.000,,
8.092640,2025-12-11 09:49:55.400,ARDUINO_PSI,Arduino,86.950,69.213,0.000,,
8.192648,2025-12-11 09:49:55.500,ARDUINO_PSI,Arduino,89.975,68.950,0.000,,
8.223743,2025-12-11 09:49:55.531,WJ_VOLTAGE,WJ1,39.589,0.000,0,0,"HV=OFF, Fault=NO"
8.226239,2025-12-11 09:49:55.534,WJ_VOLTAGE,WJ2,44.673,0.000,0,0,"HV=OFF, Fault=NO"
8.292603,2025-12-11 09:49:55.600,ARDUINO_PSI,Arduino,87.850,66.875,0.000,,
8.392871,2025-12-11 09:49:55.700,ARDUINO_PSI,Arduino,87.812,67.438,0.000,,
8.492486,2025-12-11 09:49:55.800,ARDUINO_PSI,Arduino,88.862,68.513,0.000,,
8.592827,2025-12-11 09:49:55.900,ARDUINO_PSI,Arduino,88.263,72.350,0.000,,
8.692729,2025-12-11 09:49:56.000,ARDUINO_PSI,Arduino,87.837,69.850,0.000,,
8.751436,2025-12-11 09:49:56.059,WJ_VOLTAGE,WJ1,39.589,0.000,0,0,"HV=OFF, Fault=NO"
8.752963,2025-12-11 09:49:56.060,WJ_VOLTAGE,WJ2,44.673,0.000,0,0,"HV=OFF, Fault=NO"
8.792612,2025-12-11 09:49:56.100,ARDUINO_PSI,Arduino,84.963,70.263,0.000,,
8.892217,2025-12-11 09:49:56.200,ARDUINO_PSI,Arduino,88.862,69.738,0.000,,
8.992395,2025-12-11 09:49:56.300,ARDUINO_PSI,Arduino,86.888,69.987,0.000,,
9.092638,2025-12-11 09:49:56.400,ARDUINO_PSI,Arduino,87.263,69.162,0.000,,
9.192528,2025-12-11 09:49:56.500,ARDUINO_PSI,Arduino,90.613,69.887,0.000,,
9.283933,2025-12-11 09:49:56.591,WJ_VOLTAGE,WJ1,39.589,0.000,0,0,"HV=OFF, Fault=NO"
9.286824,2025-12-11 09:49:56.594,WJ_VOLTAGE,WJ2,44.575,0.000,0,0,"HV=OFF, Fault=NO"
9.292309,2025-12-11 09:49:56.600,ARDUINO_PSI,Arduino,86.488,68.200,0.000,,
9.392527,2025-12-11 09:49:56.700,ARDUINO_PSI,Arduino,88.013,69.588,0.000,,
9.493095,2025-12-11 09:49:56.800,ARDUINO_PSI,Arduino,91.712,69.225,0.000,,
9.592760,2025-12-11 09:49:56.900,ARDUINO_PSI,Arduino,87.987,69.925,0.000,,
9.692806,2025-12-11 09:49:57.000,ARDUINO_PSI,Arduino,87.850,69.150,0.000,,
9.792577,2025-12-11 09:49:57.100,ARDUINO_PSI,Arduino,88.413,71.225,0.000,,
9.815445,2025-12-11 09:49:57.123,WJ_VOLTAGE,WJ2,44.575,0.000,0,0,"HV=OFF, Fault=NO"
