time_s,ch1_v,ch2_v
-5e-05,-0.00885972,1.20498
-4.99e-05,-0.02534292,-5.141248
-4.9800000000000004e-05,-0.02554896,5.101082
-4.97e-05,0.02616708,-5.101082
-4.96e-05,0.02616708,5.101082
-4.9500000000000004e-05,-0.02596104,-4.940418
-4.94e-05,0.02616708,5.101082
-4.9300000000000006e-05,-0.02596104,-4.940418
-4.92e-05,0.02616708,5.101082
-4.91e-05,-0.025755,-4.860086
-4.9000000000000005e-05,0.02616708,5.101082
-4.89e-05,-0.02328252,-5.02075
-4.88e-05,0.02616708,5.101082
-4.8700000000000005e-05,-0.02534292,-5.101082
-4.86e-05,0.02616708,5.101082
-4.85e-05,-0.02513688,-5.02075
-4.8400000000000004e-05,0.02616708,5.101082
-4.83e-05,-0.02534292,-4.779754
-4.82e-05,0.02616708,5.101082
-4.8100000000000004e-05,-0.025755,-4.900252
-4.8e-05,0.02616708,5.101082
-4.7900000000000006e-05,-0.02616708,-4.860086
-4.78e-05,0.02616708,5.101082
-4.77e-05,-0.02616708,-4.940418
-4.7600000000000005e-05,0.02616708,5.101082
-4.75e-05,-0.02513688,-4.779754
-4.74e-05,0.02616708,5.101082
-4.7300000000000005e-05,-0.02493084,-5.101082
-4.72e-05,0.02616708,5.101082
-4.71e-05,-0.02637312,-4.940418
-4.7000000000000004e-05,0.02616708,5.101082
-4.69e-05,-0.02493084,-4.860086
-4.68e-05,0.02616708,5.101082
-4.6700000000000003e-05,-0.02451876,-5.101082
-4.66e-05,0.02616708,-5.141248
-4.6500000000000005e-05,-0.02534292,5.101082
-4.64e-05,0.02616708,5.101082
-4.63e-05,-0.025755,-4.940418
-4.6200000000000005e-05,0.02616708,5.101082
-4.61e-05,-0.02596104,-4.61909
-4.6e-05,0.02616708,-5.02075
-4.5900000000000004e-05,-0.025755,5.101082
-4.58e-05,0.02616708,5.101082
-4.57e-05,-0.02534292,-4.900252
-4.5600000000000004e-05,0.02616708,5.101082
-4.55e-05,-0.02493084,-5.02075
-4.5400000000000006e-05,0.02616708,5.101082
-4.53e-05,-0.02513688,-5.101082
-4.52e-05,0.02616708,5.101082
-4.5100000000000005e-05,-0.02390064,-5.02075
-4.5e-05,0.02616708,5.101082
-4.49e-05,-0.02534292,-4.81992
-4.4800000000000005e-05,0.02616708,5.101082
-4.47e-05,-0.025755,-4.860086
-4.46e-05,0.02616708,-4.860086
-4.4500000000000004e-05,-0.02616708,5.101082
-4.44e-05,0.02616708,5.101082
-4.4300000000000006e-05,-0.02493084,-4.779754
-4.4200000000000004e-05,0.02616708,5.101082
-4.41e-05,-0.02534292,-4.940418
-4.4e-05,0.02616708,5.101082
-4.39e-05,-0.02493084,-5.101082
-4.38e-05,0.02616708,5.101082
-4.3700000000000005e-05,-0.02493084,-4.860086
-4.36e-05,0.02616708,5.101082
-4.35e-05,-0.02493084,-5.101082
-4.3400000000000005e-05,0.02616708,5.101082
-4.33e-05,-0.02534292,-5.141248
-4.3200000000000007e-05,0.02616708,5.101082
-4.3100000000000004e-05,-0.025755,-4.860086
-4.3e-05,0.02616708,-4.940418
-4.29e-05,-0.02513688,5.101082
-4.2800000000000004e-05,-0.02596104,5.101082
-4.27e-05,0.02616708,-5.02075
-4.2600000000000005e-05,0.02616708,5.101082
-4.25e-05,-0.025755,-4.860086
-4.24e-05,0.02616708,5.101082
-4.2300000000000005e-05,-0.02245836,-5.02075
-4.22e-05,0.02616708,5.101082
-4.210000000000001e-05,-0.02493084,-5.141248
-4.2000000000000004e-05,-0.02513688,5.101082
-4.19e-05,0.02616708,-5.02075
-4.18e-05,0.02616708,5.101082
-4.1700000000000004e-05,-0.02534292,-4.900252
-4.16e-05,0.02616708,5.101082
-4.1500000000000006e-05,-0.025755,-4.779754
-4.1400000000000003e-05,0.02616708,5.101082
-4.13e-05,-0.02616708,-4.860086
-4.12e-05,0.02616708,5.101082
-4.11e-05,-0.02534292,-4.940418
-4.1e-05,0.02616708,5.101082
-4.0900000000000005e-05,-0.02513688,-4.900252
-4.08e-05,0.02616708,5.101082
-4.07e-05,-0.02493084,-5.101082
-4.0600000000000004e-05,0.02616708,5.101082
-4.05e-05,-0.02513688,-4.860086
-4.0400000000000006e-05,-0.0236946,5.101082
-4.0300000000000004e-05,0.02616708,-4.860086
-4.02e-05,0.02616708,-5.02075
-4.01e-05,-0.02451876,5.101082
-4e-05,0.02616708,-5.141248
-3.99e-05,-0.02534292,5.101082
-3.9800000000000005e-05,0.02616708,5.101082
-3.97e-05,-0.025755,-4.940418
-3.96e-05,0.02616708,5.101082
-3.9500000000000005e-05,-0.02596104,-5.02075
-3.94e-05,0.02616708,5.101082
-3.9300000000000007e-05,-0.02596104,-4.860086
-3.9200000000000004e-05,0.02616708,5.101082
-3.91e-05,-0.02534292,-4.900252
-3.9e-05,0.02616708,5.101082
-3.8900000000000004e-05,-0.02493084,-4.940418
-3.88e-05,0.02616708,5.101082
-3.8700000000000006e-05,-0.02513688,-5.02075
-3.86e-05,0.02616708,5.101082
-3.85e-05,-0.02431272,-4.779754
-3.8400000000000005e-05,0.02616708,5.101082
-3.83e-05,-0.02534292,-4.900252
-3.820000000000001e-05,0.02616708,5.101082
-3.8100000000000005e-05,-0.025755,-5.02075
-3.8e-05,0.02616708,5.101082
-3.79e-05,-0.02616708,-5.101082
-3.7800000000000004e-05,0.02616708,5.101082
-3.77e-05,-0.02513688,-4.779754
-3.7600000000000006e-05,0.02616708,5.101082
-3.7500000000000003e-05,-0.02493084,-4.940418
-3.74e-05,0.02616708,5.101082
-3.7300000000000005e-05,-0.02637312,-4.940418
-3.72e-05,0.02616708,5.101082
-3.71e-05,-0.02513688,-4.860086
-3.7000000000000005e-05,0.02616708,5.101082
-3.69e-05,-0.02493084,-5.101082
-3.68e-05,-0.02534292,5.101082
-3.6700000000000004e-05,0.02616708,-5.141248
-3.66e-05,0.02616708,5.101082
-3.6500000000000006e-05,-0.025755,-4.940418
-3.6400000000000004e-05,0.02616708,5.101082
-3.63e-05,-0.02596104,-4.860086
-3.62e-05,0.02616708,5.101082
-3.61e-05,-0.025755,-5.02075
-3.6e-05,0.02616708,5.101082
-3.5900000000000005e-05,-0.025755,-4.900252
-3.58e-05,0.02616708,5.101082
-3.57e-05,-0.02493084,-5.02075
-3.5600000000000005e-05,0.02616708,5.101082
-3.55e-05,-0.02513688,-5.141248
-3.540000000000001e-05,0.02616708,5.101082
-3.5300000000000004e-05,-0.02410668,-5.02075
-3.52e-05,0.02616708,5.101082
-3.51e-05,-0.02534292,-4.900252
-3.5000000000000004e-05,0.02616708,5.101082
-3.49e-05,-0.025755,-4.860086
-3.4800000000000006e-05,0.02616708,5.101082
-3.47e-05,-0.02616708,-4.940418
-3.46e-05,0.02616708,5.101082
-3.45e-05,-0.02534292,-4.779754
-3.44e-05,0.02616708,5.101082
-3.430000000000001e-05,-0.02513688,-4.940418
-3.4200000000000005e-05,0.02616708,5.101082
-3.41e-05,-0.02493084,-5.101082
-3.4e-05,0.02616708,5.101082
-3.3900000000000004e-05,-0.02513688,-4.860086
-3.38e-05,0.02616708,5.101082
-3.3700000000000006e-05,-0.02493084,-5.02075
-3.3600000000000004e-05,0.02616708,5.101082
-3.35e-05,-0.02534292,-5.141248
