time_s,ch1_v,ch2_v,ch3_v,ch4_v
-5e-06,0.0,-2.3158,0.040407,0.0
-4.9996e-06,0.0,-2.3158,0.080814,0.0
-4.9992e-06,0.0,-2.3158,0.0,0.0
-4.9988e-06,0.0,0.0,0.040407,-0.27181
-4.9984e-06,0.0,0.0,0.040407,0.0
-4.998e-06,0.0,0.0,-0.040407,0.0
-4.9976e-06,0.0,0.0,0.0,0.0
-4.9972e-06,0.0,-2.3158,0.0,0.0
-4.9968e-06,-8892.1,0.0,0.0,0.0
-4.9964e-06,0.0,0.0,0.0,0.0
-4.996e-06,0.0,0.0,0.040407,0.0
-4.9956e-06,0.0,0.0,0.040407,0.0
-4.9952e-06,0.0,0.0,0.0,0.27181
-4.9948e-06,0.0,0.0,0.0,0.27181
-4.9944e-06,-8892.1,0.0,0.040407,0.0
-4.994000000000001e-06,0.0,0.0,0.040407,-0.27181
-4.993600000000001e-06,0.0,0.0,0.040407,-0.27181
-4.993200000000001e-06,0.0,0.0,0.0,-0.27181
-4.992800000000001e-06,0.0,0.0,0.0,-0.27181
-4.992400000000001e-06,0.0,0.0,0.040407,0.0
-4.992000000000001e-06,0.0,0.0,0.040407,0.0
-4.991600000000001e-06,0.0,-2.3158,0.040407,0.0
-4.991200000000001e-06,0.0,-2.3158,0.040407,-0.27181
-4.9908000000000006e-06,0.0,0.0,0.040407,-0.27181
-4.9904000000000005e-06,0.0,0.0,-0.040407,0.0
-4.9900000000000005e-06,0.0,0.0,0.040407,-0.27181
-4.9896000000000005e-06,-8892.1,-2.3158,0.0,-0.27181
-4.9892000000000004e-06,0.0,-2.3158,0.0,0.0
-4.9888e-06,8892.1,0.0,0.0,-0.27181
-4.9884e-06,0.0,0.0,0.0,-0.27181
-4.988e-06,0.0,0.0,0.040407,0.27181
-4.9876e-06,0.0,-2.3158,0.0,0.27181
-4.9872e-06,0.0,0.0,0.0,0.27181
-4.9868e-06,0.0,0.0,0.0,0.27181
-4.9864e-06,0.0,0.0,0.0,0.0
-4.986e-06,0.0,0.0,0.040407,0.0
-4.9856e-06,0.0,-2.3158,0.040407,0.0
-4.9852e-06,8892.1,0.0,0.040407,0.0
-4.9848e-06,8892.1,0.0,0.0,0.0
-4.9844e-06,0.0,-2.3158,0.040407,0.0
-4.984e-06,0.0,-2.3158,0.0,0.0
-4.9836e-06,0.0,-4.6316,0.040407,0.0
-4.9832e-06,0.0,-2.3158,0.040407,0.0
-4.982800000000001e-06,0.0,0.0,0.0,0.0
-4.982400000000001e-06,0.0,0.0,0.040407,0.0
-4.982000000000001e-06,0.0,0.0,0.040407,0.0
-4.981600000000001e-06,0.0,0.0,0.040407,0.0
-4.981200000000001e-06,-8892.1,0.0,0.0,0.0
-4.980800000000001e-06,0.0,-2.3158,0.0,0.0
-4.980400000000001e-06,0.0,-2.3158,0.0,0.0
-4.980000000000001e-06,0.0,0.0,0.0,0.0
-4.9796000000000006e-06,0.0,0.0,0.040407,0.0
-4.9792000000000005e-06,0.0,-2.3158,0.040407,0.0
-4.9788000000000005e-06,0.0,0.0,0.040407,0.0
-4.9784000000000005e-06,0.0,2.3158,0.0,0.0
-4.9780000000000005e-06,0.0,0.0,0.0,0.0
-4.9776e-06,0.0,0.0,0.0,0.27181
-4.9772e-06,0.0,2.3158,0.0,0.0
-4.9768e-06,0.0,2.3158,0.0,0.0
-4.9764e-06,0.0,0.0,0.0,0.0
-4.976e-06,8892.1,0.0,0.040407,0.0
-4.9756e-06,8892.1,-2.3158,0.080814,0.27181
-4.9752e-06,0.0,-2.3158,0.0,0.0
-4.9748e-06,0.0,-2.3158,0.0,0.0
-4.9744e-06,0.0,0.0,0.0,0.0
-4.974e-06,0.0,0.0,0.040407,0.0
-4.9736e-06,0.0,-2.3158,0.040407,0.0
-4.9732e-06,-8892.1,0.0,-0.040407,0.0
-4.9728e-06,-8892.1,0.0,0.0,0.27181
-4.9724e-06,0.0,0.0,0.040407,0.27181
-4.972e-06,8892.1,0.0,0.040407,0.0
-4.971600000000001e-06,0.0,0.0,0.0,-0.27181
-4.971200000000001e-06,-8892.1,0.0,0.0,0.0
-4.970800000000001e-06,0.0,-2.3158,0.0,0.0
-4.970400000000001e-06,0.0,-2.3158,0.0,0.0
-4.970000000000001e-06,0.0,-2.3158,0.080814,0.0
-4.969600000000001e-06,0.0,0.0,0.040407,-0.27181
-4.969200000000001e-06,0.0,0.0,0.080814,0.0
-4.968800000000001e-06,0.0,0.0,0.0,0.0
-4.9684000000000006e-06,0.0,0.0,0.0,0.0
-4.9680000000000005e-06,0.0,0.0,0.0,0.27181
-4.9676000000000005e-06,-8892.1,0.0,0.0,0.0
-4.9672000000000005e-06,0.0,0.0,0.040407,0.0
-4.9668000000000005e-06,0.0,0.0,0.040407,0.0
-4.9664000000000004e-06,0.0,0.0,0.0,0.0
-4.966e-06,0.0,0.0,0.0,0.0
-4.9656e-06,0.0,0.0,0.040407,-0.27181
-4.9652e-06,0.0,0.0,0.0,-0.27181
-4.9648e-06,0.0,0.0,0.0,0.0
-4.9644e-06,0.0,0.0,0.0,0.27181
-4.964e-06,0.0,0.0,0.0,0.27181
-4.9636e-06,0.0,0.0,0.040407,0.0
-4.9632e-06,0.0,0.0,0.0,0.27181
-4.9628e-06,0.0,-2.3158,0.0,0.27181
-4.9624e-06,8892.1,-2.3158,-0.040407,0.0
-4.962e-06,8892.1,0.0,0.040407,0.0
-4.9616e-06,0.0,0.0,0.0,0.0
-4.9612e-06,0.0,0.0,0.080814,0.0
-4.9608e-06,0.0,0.0,0.0,-0.27181
-4.960400000000001e-06,0.0,0.0,0.040407,-0.27181
-4.960000000000001e-06,0.0,0.0,0.0,0.0
-4.959600000000001e-06,0.0,-2.3158,0.0,0.0
-4.959200000000001e-06,0.0,0.0,0.0,0.0
-4.958800000000001e-06,0.0,0.0,0.080814,0.0
-4.958400000000001e-06,0.0,-2.3158,0.040407,0.0
-4.958000000000001e-06,0.0,0.0,0.040407,0.0
-4.957600000000001e-06,0.0,0.0,0.0,0.0
-4.957200000000001e-06,0.0,0.0,0.040407,0.0
-4.9568000000000006e-06,8892.1,0.0,0.0,0.0
-4.9564000000000005e-06,8892.1,-2.3158,0.0,0.0
-4.9560000000000005e-06,8892.1,-2.3158,0.0,0.0
-4.9556000000000005e-06,0.0,-2.3158,0.0,0.0
-4.9552000000000004e-06,-8892.1,0.0,0.0,0.0
-4.9548e-06,0.0,0.0,0.040407,0.0
-4.9544e-06,0.0,-2.3158,0.040407,0.0
-4.954e-06,0.0,-2.3158,0.040407,0.0
-4.9536e-06,0.0,-2.3158,0.0,0.0
-4.9532e-06,0.0,-2.3158,0.0,0.0
-4.9528e-06,8892.1,-2.3158,0.0,0.0
-4.9524e-06,0.0,-2.3158,0.0,0.0
-4.952e-06,0.0,-2.3158,0.040407,0.0
-4.9516e-06,8892.1,0.0,0.040407,0.0
-4.9512e-06,8892.1,0.0,0.080814,0.0
-4.9508e-06,0.0,0.0,-0.040407,0.0
-4.9504e-06,0.0,-2.3158,0.040407,0.0
-4.95e-06,0.0,0.0,-0.040407,0.0
-4.9496e-06,0.0,0.0,0.0,0.0
-4.9492e-06,8892.1,-2.3158,0.0,0.0
-4.948800000000001e-06,0.0,0.0,0.0,-0.27181
-4.948400000000001e-06,0.0,0.0,0.0,-0.27181
-4.948000000000001e-06,0.0,0.0,0.080814,0.0
-4.947600000000001e-06,0.0,0.0,0.0,0.27181
-4.947200000000001e-06,0.0,0.0,0.040407,0.27181
-4.946800000000001e-06,0.0,0.0,0.040407,0.27181
-4.946400000000001e-06,0.0,-2.3158,0.040407,0.0
